timestamp,model,accuracy,f1_macro,f1_real,f1_synthetic,f1_tampered
20260514_014038,SLM_Qwen2VL_QLoRA,94.00,94.01,95.38,94.63,92.00
20260510_193136,CNN_EfficientNetB0,96.08,96.08,94.17,99.90,94.18
20260517_152244,cnn_kfold_5fold,,84.52±0.93,,,
20260517_184114,cnn_kfold_5fold,,95.39±0.06,,,
20260518_083230,slm_qwen3vl2b_qlora_kfold_2fold,54.67,49.51±1.62,11.67,81.36,55.50
20260518_084104,slm_qwen3vl2b_qlora_kfold_2fold,80.17,79.30±5.28,78.00,92.93,66.99
20260520_130850,cnn_kfold_5fold,95.38,95.38±0.06,93.14,99.89,93.11
20260521_025518,slm_qwen3vl2b_qlora_kfold_5fold,95.77,95.69±7.29,95.02,98.59,93.44
20260527_175053,cnn_kfold_5fold,94.93,94.93±0.04,92.52,99.88,92.38
20260604_215452,slm_lfm25vl450m_qlora_kfold_5fold,65.68,54.68±0.04,65.57,0.00,98.46
